0224,WELDING                                                                    
0225,WOODWORKING                                                                
0226,COMMERCIAL ART                                                             
0227,ENGINEERING                                                                
0228,MANUFACTURE/PROCESSING                                                     
0229,SCIENCE DEPARTMENT CHAIRPERSON                                             
0230,AP BIOLOGY                                                                 
0231,AP CHEMISTRY                                                               
0232,AP PHYSICS                                                                 
0233,AP ENVIRONMENTAL SCIENCE TEACHER                                           
0234,LIFE SCIENCE                                                               
0235,BIOLOGY                                                                    
0236,ENVIRONMENTAL SCIENCE                                                      
0237,CHEMISTRY                                                                  
0238,PHYSICAL SCIENCE                                                           
0240,PHYSICS                                                                    
0241,EARTH SCIENCE                                                              
0242,SPACE SCIENCE/ASTRONOMY TCHR                                               
0243,ANATOMY/PHYSIOLOGY                                                         
0244,SCIENCE                                                                    
0245,SOCIAL STUDIES DEPT CHAIR                                                  
0246,AP GOVERNMENT/POLITICAL SCIENCE                                            
0247,AP MICRO-ECONOMICS                                                         
0248,SOCIOLOGY/ANTHROPOLOGY                                                     
0249,AP MACRO-ECONOMICS                                                         
0250,AP EUROPEAN                                                                
0251,ECONOMICS                                                                  
0252,AP AMERICAN HISTORY                                                        
0253,GEOGRAPHY                                                                  
0254,AP PSYCHOLOGY                                                              
0255,AP WORLD HISTORY                                                           
0256,CIVICS/GOVERNMENT                                                          
0257,PSYCHOLOGY                                                                 
0258,PHILOSOPHY                                                                 
0259,RELIGION TEACHER                                                           
0260,RELIGION                                                                   
0261,HISTORY                                                                    
0262,STATE/LOCAL HISTORY                                                        
0263,U.S. HISTORY                                                               
0264,WORLD HISTORY                                                              
0265,ETHNIC STUDIES                                                             
0266,CURRENT EVENTS                                                             
0267,LAW                                                                        
0268,SOCIAL STUDIES                                                             
0269,SPECIAL NEEDS DEPARTMENT CHAIR                                             
0270,EMOTIONALLY CHALLENGED                                                     
0271,GIFTED AND TALENTED                                                        
0272,MENTALLY CHALLENGED                                                        
0273,PHYSICALLY CHALLENGED                                                      
0274,E C E SPECIAL NEEDS                                                        
0275,HEARING SPECIALIST                                                         
0276,OCCUPATIONAL SPECIALIST                                                    
0277,SPECIAL NEEDS RESOURCE                                                     
0278,AUTISTIC SPECIALTY                                                         
0279,SEVERELY CHALLENGED                                                        
0280,PHYSICAL THERAPIST                                                         
0281,VISUALLY CHALLENGED                                                        
0282,SPEECH/LANGUAGE PATHOLOGIST                                                
0283,SPECIAL NEEDS                                                              
0284,LEARNING CHALLENGED                                                        
0285,HOME SCHOOLER                                                              
0286,OTHER                                                                      
0287,CLUB SPONSOR                                                               
0288,SCHOOL AIDES                                                               
0289,CAFETERIA PERSONNEL                                                        
0290,TRANSPORTATION PERSONNEL                                                   
0291,CUSTODIAL PERSONNEL                                                        
0292,SCHOOL STAFF                                                               
0293,UNMATCHED E-MAIL PERSONNEL                                                 
0294,KINDERGARTEN LEAD TEACHER                                                  
0295,WEB PAGE / INTERNET TEACHER                                                
0296,RIF COORDINATOR                                                            
0297,LITERACY COACH                                                             
0298,EARLY CHILDHOOD PROVIDER                                                   
0299,BEFORE/AFTER SCHOOL COOR                                                   
0300,SUPERINTENDENT                                                             
0301,ASSISTANT SUPERINTENDENT                                                   
0303,FACILITIES/BUILDINGS AND GROUNDS                                           
0304,BUSINESS MGR/PURCHASING AGENT                                              
0306,HUMAN RESOURCES                                                            
0307,TRANSPORTATION                                                             
0308,MANAGEMENT INFORMATION SYSTEMS                                             
0309,PURCHASING                                                                 
0310,YEAR-ROUND EDUCATION                                                       
0311,SITE-BASE/SCHOOL IMPROVEMENT COOR                                          
0312,DISTRICT ADMINISTRATOR                                                     
0314,INFORMATION/TECHNOLOGY SVS DIRECTOR                                        
0315,ACCOUNTABILITY                                                             
0316,"LANGUAGE ARTS/ENGLISH, K-12                                                "
0317,"LANGUAGE ARTS/ENGLISH, ELEM                                                "
0318,"LANGUAGE ARTS/ENGLISH, SEC                                                 "
0319,"MATHEMATICS, K-12                                                          "
0320,"MATHEMATICS, ELEMENTARY                                                    "
0321,"MATHEMATICS, SECONDARY                                                     "
0322,"READING, K-12                                                              "
0323,"READING, ELEMENTARY                                                        "
0324,"READING, SECONDARY                                                         "
0325,"SCIENCE, K-12                                                              "
0326,"SCIENCE, ELEMENTARY                                                        "
0327,"SCIENCE, SECONDARY                                                         "
0328,"SOCIAL STUDIES, K-12                                                       "
0329,"SOCIAL STUDIES, ELEMENTARY                                                 "
0330,"SOCIAL STUDIES, SECONDARY                                                  "
0331,LITERACY SPECIALIST                                                        
0333,ADULT/GED/CONTINUING ED                                                    
0334,BUSINESS/DISTRIBUTIVE ED                                                   
0335,CAREER EDUCATION                                                           
0336,HOME EC/CONSUMER ED                                                        
0337,INDUSTRIAL ARTS/TRADES & IND                                               
0339,"CURRICULUM, K-12                                                           "
0340,"CURRICULUM, ELEMENTARY                                                     "
0341,"CURRICULUM, SECONDARY                                                      "
0343,FINE ARTS/HUMANITIES                                                       
0344,EARLY CHILDHOOD EDUCATION                                                  
0345,FOREIGN LANGUAGES                                                          
0346,GIFTED & TALENTED                                                          
0347,PHYSICAL EDUCATION & SAFETY                                                
0348,CHARACTER EDUCATION                                                        
0349,ACADEMIC ASSESSMENT/TESTING                                                
0350,TESTING-PSYCHOLOGICAL                                                      
0351,"GUIDANCE/COUNSELING, K-12                                                  "
0352,"GUIDANCE/COUNSELING, ELEM                                                  "
0353,"GUIDANCE/COUNSELING, SECOND                                                "
0354,STAFF DEVELOPMENT                                                          
0355,PUBLIC RELATIONS                                                           
0356,RESEARCH & DEVELOPMENT                                                     
0357,SCHOOL BOARD PRESIDENT                                                     
0358,SCHOOL REFORM                                                              
0359,"SPECIAL EDUCATION, K-12                                                    "
0360,"SPECIAL EDUCATION, ELEMENTARY                                              "
0361,"SPECIAL EDUCATION, SECONDARY                                               "
0362,FEDERAL PROGRAMS                                                           
0363,TITLE I PROGRAMS DIRECTOR                                                  
0364,TITLE II PROGRAMS DIRECTOR                                                 
0366,MIGRANT EDUCATION                                                          
0367,MULTI-CULTURAL EDUCATION                                                   
0368,BUSINESS PARTNERSHIPS/GRANTS                                               
0369,SAFETY/SECURITY DIRECTOR                                                   
0370,NURSE/HEALTH SERVICES                                                      
0371,PUPIL PERSONNEL                                                            
0372,AFFIRMATIVE ACTION                                                         
0373,HEALTH/DRUGS/AIDS                                                          
0374,AT RISK                                                                    
0375,DROPOUT PREVENTION                                                         
0376,MEDIA/AUDIOVISUAL SERVICES                                                 
0377,INSTRUCTIONAL TV                                                           
0378,LIBRARY SERVICES                                                           
0379,INSTRUCTIONAL TECHNOLOGY                                                   
0381,VIDEO                                                                      
0382,TECHNOLOGY PREP COORDINATOR                                                
0383,WEBMASTER                                                                  
0384,LIBRARY DIRECTOR                                                           
0385,ASSISTANT LIB DIRECTOR                                                     
0386,BRANCH SERVICES DIRECTOR                                                   
0387,CIRCULATION SERVICES                                                       
0388,ACQUISITIONS                                                               
0389,AUTOMATION                                                                 
0390,BRANCH LIB DIRECTOR                                                        
0391,BOOKMOBILE SERVICES                                                        
0392,TECH SERV                                                                  
0393,MICROFORMS                                                                 
0394,SERIALS-PERIODICALS                                                        
0395,CHILDREN'S SERVICES                                                        
0396,YOUNG ADULT SERV                                                           
0397,REFERENCE                                                                  
0398,ADULT SERV                                                                 
0399,AUDIOVISUAL SERVICES                                                       
0400,COLLECTION DEVELOPMENT                                                     
0401,PUBLIC SERVICES                                                            
0402,BRANCH CHILDREN'S LIB                                                      
0403,READER'S ADVISOR                                                           
0404,BRANCH REFERENCE LIBRARIAN                                                 
0405,ASSISTANT TO CHIEF EXECUTIVE                                               
0406,ASSOCIATE ACADEMIC ADVISOR                                                 
0407,ASSOCIATE BUSINESS OFFICER                                                 
0408,CHIEF ADMISSIONS OFFICER                                                   
0409,CHIEF BUSINESS OFFICER                                                     
0410,CHIEF EXECUTIVE OFFICER                                                    
0411,EXECUTIVE VICE PRESIDENT                                                   
0412,INFORMATION SYS (CHIEF OFFICER - CIO)                                      
0413,PLANNING/BUDGET OFFICER                                                    
0414,ADMINSTRATIVE AFFAIRS                                                      
0415,ADMINSTRATIVE COMPUTING                                                    
0416,ADMISSIONS-SPECIALIZED                                                     
0417,ADVANCEMENT/EXTERNAL RELATIONS                                             
0419,ANNUAL GIVING                                                              
0421,AUXILLARY SERVICES                                                         
0422,BRANCH CAMPUS                                                              
0423,COLLEGE MARKETING                                                          
0424,COLLEGE NEWSPAPER ADVERT DIRECTOR                                          
0425,COLLEGE NEWSPAPER MANAGING EDITOR                                          
0426,COLLEGE NEWSPAPERS                                                         
0427,COMMUNITY SERVICES                                                         
0428,CONTRACTS                                                                  
0429,CORPORATE GIVING                                                           
0430,DEVELOPMENT                                                                
0431,DIRECTOR OF PHYSICAL PLANT                                                 
0432,DRUG/ALCOHOL AWARENESS                                                     
0433,ECONOMIC/BUSINESS DEVELOPMENT                                              
0434,ENROLLMENT MANAGEMENT                                                      
0435,EVENING DIVISION                                                           
0437,GOVERNMENTAL RELATIONS                                                     
0438,HONORS PROGRAM                                                             
0439,INSTITUTIONAL RESEARCH                                                     
0440,INTERNAL AUDITING                                                          
0441,LEGAL AFFAIRS                                                              
0442,MUSEUM ADMINISTRATION                                                      
0443,NEWSPAPER - PROFESSIONAL SCHOOL                                            
0444,PLANNED GIVING                                                             
0446,PUBLICATIONS/INFORMATION                                                   
0447,PURCHASING AGENT                                                           
0448,RADIO STATION MANAGING DIRECTOR                                            
0449,REGISTRAR                                                                  
0450,SECURITY/SAFETY DIRECTOR                                                   
0451,SPECIAL EVENTS/CONFERENCES                                                 
0452,SPECIAL SESSIONS                                                           
0453,SPORTS INFORMATION                                                         
0454,STAFF PERSONNEL SERVICES                                                   
0455,STUDENT NETWORK LICENSEE                                                   
0456,SUMMER SESSIONS                                                            
0457,TEACHER EDUCATION RESOURCE CENTER                                          
0458,THEATER                                                                    
0459,UNIVERSITY PRESS                                                           
0460,VETERAN'S AFFAIRS                                                          
0461,WOMEN'S ATHLETIC DIRECTOR                                                  
0462,WOMEN'S CENTER                                                             
0463,ACADEMIC AFFAIRS (CHIEF OFFICER)                                           
0464,ADMISSIONS                                                                 
0465,STUDENT AFFAIRS (GENERAL)                                                  
0466,STUDENT AFFAIRS (MEN)                                                      
0467,STUDENT AFFAIRS (WOMEN)                                                    
0468,UNDERGRADUATE STUDIES                                                      
0469,ADMISSIONS OFFICE                                                          
0470,CO-OP PROGRAMS                                                             
0471,EARLY CHILDHOOD DIRECTOR                                                   
0472,FINANCIAL AID                                                              
0473,FOREIGN STUDENT ADVISOR                                                    
0474,HEALTH PROFESSIONS ADVISOR                                                 
0475,HEALTH SERVICES DIRECTOR                                                   
0476,MINORITY STUDENT ADVISOR                                                   
0477,PLACEMENT SERVICES                                                         
0478,PREMEDICAL ADVISOR                                                         
0479,RELIGIOUS COUNSELING                                                       
0480,SERVICES FOR STUDENTS WITH DISABILITIES                                    
0481,STUDENT APPLICATION CONTACT                                                
0482,STUDENT COUNSELING                                                         
0483,STUDENT EMPLOYMENT                                                         
0484,STUDENT FINANCIAL AID CONTACT                                              
0485,STUDENT HOUSING                                                            
0486,STUDENT LIFE/PERSONNEL SERVICES                                            
0487,STUDY ABROAD                                                               
0488,TRANSFER SERVICES                                                          
0489,GRADUATE ARTS & SCIENCES                                                   
0490,GRADUATE PROGRAMS                                                          
0491,GRADUATE PROGRAMS-DENTISTRY                                                
0492,GRADUATE PROGRAMS-SINGLE                                                   
0493,GRADUATE STUDIES (MED SCHOOLS)                                             
0494,ALUMNAE ASSOCIATION                                                        
0495,ALUMNI ASSOCIATION                                                         
0496,DENTAL SCHOOL ALUMNI AFFAIRS                                               
0497,LAW SCHOOL ALUMNI AFFAIRS                                                  
0498,MEDICAL SCHOOL ALUMNI AFFAIRS                                              
0499,THEOLOGY SCHOOL ALUMNI AFFAIRS                                             
0500,CONTINUING EDUCATION                                                       
0501,CORRESPONDENCE STUDY                                                       
0502,DEVELOPMENTAL STUDIES                                                      
0503,EXECUTIVE EDUCATION                                                        
0504,EXTERNAL DEGREE PROGRAM                                                    
0505,PART-TIME DEGREE PROGRAMS                                                  
0506,SPONSORED RESEARCH PROGRAM                                                 
0507,VOCATIONAL/TECHNICAL EDUCATION                                             
0508,ACADEMIC COMPUTING/INFO SERVICES                                           
0509,AUDIOVISUAL/MEDIA SERVICES                                                 
0510,BOOKSTORE MANAGER                                                          
0511,COMPUTER CENTER DIRECTOR                                                   
0512,DENTAL SCHOOL LIBRARY                                                      
0513,DISTANCE EDUCATION ADMINISTRATORS                                          
0514,LAW SCHOOL LIBRARY                                                         
0515,LIBRARIAN                                                                  
0516,LIBRARY (ACQUISITIONS)                                                     
0517,LIBRARY (DEPARTMENTAL)                                                     
0518,LIBRARY REFERENCE                                                          
0519,MEDICAL SCHOOL LIBRARY                                                     
0520,TELECOMMUNICATIONS                                                         
0521,THEOLOGY SCHOOL LIBRARY                                                    
0523,ACOUSTICS                                                                  
0524,ACTUARIAL SCIENCE                                                          
0525,ACTUARIAL SCIENCES                                                         
0526,ADMINISTRATION                                                             
0527,ADMINISTRATION AND MANAGEMENT                                              
0528,ADULT AND CONTINUING EDUCATION                                             
0530,ADULT NURSING                                                              
0531,ADVANCED PRACTICE NURSING                                                  
0532,ADVERTISING                                                                
0533,ADVERTISING AND PUBLIC RELATIONS                                           
0534,AEROSPACE SCIENCE                                                          
0535,AEROSPACE/AERONAUTICAL ENGINEERING                                         
0536,AFRICAN LANGUAGES                                                          
0537,AFRICAN LANGUAGES AND LITERATURE                                           
0538,AFRICAN STUDIES                                                            
0539,AFRICAN-AMERICAN STUDIES                                                   
0540,AGRIBUSINESS                                                               
0541,AGRICULTURAL BUSINESS                                                      
0542,AGRICULTURAL ECONOMICS AND AGRIBUSINESS                                    
0544,AGRICULTURAL ENGINEERING                                                   
0545,AGRICULTURAL SCIENCES                                                      
0546,AGRICULTURAL TECHNOLOGY                                                    
0547,AGRICULTURE                                                                
0548,AGRONOMY AND SOIL SCIENCES                                                 
0549,AIR QUALITY TECHNOLOGIES                                                   
0550,AIR TRAFFIC CONTROL                                                        
0551,AIRCRAFT/MISSILE MAINTENANCE                                               
0552,ALLIED HEALTH                                                              
0553,ALLIED HEALTH SCIENCES                                                     
0554,ALLOPATHIC MEDICINE                                                        
0555,AMERICAN INDIAN STUDIES                                                    
0556,AMERICAN STUDIES                                                           
0557,ANALYTICAL CHEMISTRY                                                       
0558,ANATOMY                                                                    
0559,ANESTHESIOLOGY                                                             
0560,ANIMAL BEHAVIOR                                                            
0561,ANIMAL HOSPITAL TECHNOLOGY                                                 
0562,ANIMAL SCIENCES                                                            
0563,ANTHROPOLOGY                                                               
0564,APPLIED ARTS AND DESIGN                                                    
0565,APPLIED HISTORY                                                            
0566,APPLIED MATHEMATICS                                                        
0567,APPLIED MECHANICS                                                          
0568,APPLIED PHYSICS                                                            
0569,APPLIED SCIENCE                                                            
0571,APPLIED SCIENCES & TECHNOLOGIES                                            
0572,AQUACULTURE                                                                
0573,ARAB STUDIES                                                               
0574,ARABIC                                                                     
0575,ARCHAEOLOGY                                                                
0576,ARCHITECTURAL ENGINEERING                                                  
0577,ARCHITECTURAL HISTORY                                                      
0578,ARCHITECTURAL TECHNOLOGY                                                   
0579,ARCHITECTURE                                                               
0580,ARCTIC STUDIES                                                             
0581,ART & DESIGN                                                               
0582,ART AND FINE ARTS                                                          
0583,ART EDUCATION                                                              
0584,ART HISTORY                                                                
0585,ART THERAPY                                                                
0586,ART/FINE ARTS                                                              
0587,ARTIFICIAL INTELLIGENCE/ROBOTICS                                           
0588,ARTS ADMINISTRATION                                                        
0589,ARTS AND SCIENCES                                                          
0591,ASIAN LANGUAGES                                                            
0592,ASIAN STUDIES                                                              
0593,ASIAN-AMERICAN STUDIES                                                     
0594,ASTRONAUTICS                                                               
0595,ASTRONOMY                                                                  
0596,ASTRONOMY AND SPACE SCIENCES                                               
0597,ASTROPHYSICAL SCIENCES                                                     
0598,ASTROPHYSICS                                                               
0599,ATMOSPHERIC SCIENCES                                                       
0600,ATMOSPHERIC SCIENCES/METEOROLOGY                                           
0601,AUDIOLOGY                                                                  
0602,AUDIOLOGY/SPEECH PATHOLOGY                                                 
0603,AUDIOVISUAL EDUCATION                                                      
0604,AUTOMOTIVE ENGINEERING                                                     
0605,AUTOMOTIVE TECHNOLOGIES                                                    
0606,AVIATION                                                                   
0607,AVIATION ADMINISTRATION                                                    
0608,AVIATION MANAGEMENT                                                        
0609,AVIATION TECHNOLOGY                                                        
0610,BACTERIOLOGY                                                               
0611,BANKING                                                                    
0612,BANKING AND FINANCE                                                        
0613,BEHAVIORAL GENETICS                                                        
0614,BEHAVIORAL SCIENCES                                                        
0615,BIBLE STUDIES                                                              
0616,BIBLICAL LANGUAGES                                                         
0617,BIOCHEMICAL ENGINEERING                                                    
0618,BIOCHEMICAL SCIENCES                                                       
0619,BIOCHEMICAL TECHNOLOGY                                                     
0620,BIOCHEMISTRY                                                               
0622,BIOENGINEERING                                                             
0623,BIOETHICS                                                                  
0624,BIOINFORMATICS                                                             
0625,BIOLOGICAL AND BIOMEDICAL SCIENCES                                         
0626,BIOLOGICAL CHEMISTRY                                                       
0627,BIOLOGICAL SCIENCES                                                        
0629,BIOMEDICAL ENGINEERING                                                     
0630,BIOMEDICAL SCIENCES                                                        
0631,BIOMEDICAL TECHNOLOGIES                                                    
0632,BIOMETRICS                                                                 
0633,BIOPHYSICS                                                                 
0634,BIOPSYCHOLOGY                                                              
0635,BIOSTATISTICS                                                              
0636,BIOTECHNOLOGY                                                              
0637,BLACK STUDIES                                                              
0638,BOTANY AND PLANT SCIENCES                                                  
0639,BROADCASTING                                                               
0640,BUILDING SCIENCE                                                           
0641,BUILDING TECHNOLOGIES                                                      
0642,BUSINESS ADMIN/COMMERCE/MANAGEMENT                                         
0643,BUSINESS ADMINISTRATION AND MANAGEMENT                                     
0644,BUSINESS AND ADMINISTRATION                                                
0645,BUSINESS AND ECONOMICS                                                     
0646,BUSINESS AND PUBLIC ADMINISTRATION                                         
0647,BUSINESS ECONOMICS                                                         
0650,BUSINESS MACHINE TECHNOLOGIES                                              
0651,CANADIAN STUDIES                                                           
0652,CARDIOVASCULAR SCIENCES                                                    
0653,CARPENTRY                                                                  
0654,CARTOGRAPHY                                                                
0655,CELL BIOLOGY                                                               
0656,CELTIC LANGUAGES                                                           
0657,CERAMIC DESIGN                                                             
0658,CERAMIC ENGINEERING                                                        
0659,CERAMIC SCIENCES                                                           
0660,CERAMIC SCIENCES AND ENGINEERING                                           
0661,CERAMICS                                                                   
0662,CHEMICAL ENGINEERING                                                       
0663,CHEMICAL ENGINEERING TECHNOLOGY                                            
0665,CHICANO STUDIES                                                            
0666,CHILD AND FAMILY STUDIES                                                   
0667,CHILD CARE                                                                 
0668,CHILD PSYCHOLOGY/CHILD DEVELOPMENT                                         
0669,CHILD-CARE NURSING                                                         
0670,CHINESE                                                                    
0671,CHIROPRACTIC                                                               
0672,CINEMA                                                                     
0673,CITY AND REGIONAL PLANNING                                                 
0674,CIVIL ENGINEERING                                                          
0675,CIVIL ENGINEERING TECHNOLOGY                                               
0676,CLASSICAL LANGUAGES                                                        
0677,CLASSICS                                                                   
0678,CLINICAL LABORATORY SCIENCES                                               
0679,CLINICAL MICROBIOLOGY                                                      
0680,CLINICAL PATHOLOGY                                                         
0681,CLINICAL PHARMACOLOGY                                                      
0682,CLINICAL PSYCHOLOGY                                                        
0683,CLOTHING AND TEXTILES                                                      
0684,COASTAL ZONE MANAGEMENT                                                    
0685,COGNITIVE SCIENCES                                                         
0686,COMMERCE                                                                   
0688,COMMUNICATION                                                              
0690,COMMUNICATION DISORDERS                                                    
